text,score,cosineSim,result
"Seriously....I am so done with this. I stick up for you even though you treat everyone including me like crap. I deal with all your insensitivity, because I know you have a good side to you and we have each others backs. But I have a limit of how much of your BS I can take. I am intelligent, good with school work, and hanging out with my friends means everything to me. If you don't realize this about me, GET OUT OF MY LIFE! I'm sick and tired of being treated like some stupid useless girl!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9489192150494856],0
"Meh no school for me today, I've been feeling sick lately and decided to have a day to recuperate. Also, I wanted to stay away from drama for the day so I'm just relaxing until tomorrow where everything gets interesting.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9281639910766272],0
All these people posting about how its sad homeless go hungry and elderly without medicines and so on and so on....when was the last time u gave a hungry person you didn't know a meal?? When have you bought an elderly person their meds?? Yes America could do some more work in our own country but I'm damn sure you could too,"[1, 1, 5, 1, 1, 1, 1, 1, 3, 0]",[0.9104118852440115],1
"Please pray for my mom, Karen Balts, she is sick with ammonia and the flu! Also, on top of that she has been fighting severe chronic sinus problems for the last few months. So please keep her in your prayers! Thanks!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9185197414576185],0
A bunch of bs today. A patient complained about moms tattoos. So she has to cover them up. They aren't even freaking gonna see her again. And they aren't offensive! She isn't even an employee at this place! Wtf?,"[1, 1, 1, 3, 1, 1, 1, 1, 1, 0]",[0.9266426581091985],1
i hate when people oh my life is perfect the next day i hate my life boo hoo! your in high school i dont think any of this crap is going to made 10 years down the road and i really dont care to know about it! oh you date for a week and all of a suden your in love?? umm no you arnt !!! then some of those create drama and act like yout upset or stressed about it!!! people need to get over them self,"[1, 3, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9634682408135243],1
"I don't mind being busy at work, but I hate it when I have to put so much effort into being a nice and helpful cashier that fine motor skills, depth perception, and hand-eye coordination forsake me.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9197228658599456],0
Totally just had a massive epiphany. The question now isn't where I go to from here. Nor is it how to get there. The real question is do I have the courage to do what it takes? *resists urge to hide in a corner*,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 0]",[0.9314911270687689],1
M y courser keeps constantly scrolnig ot the sdi e so taht maeks it rea l hard to type anything. I have to tap the forward arrow wit hoen hand continualyl and then tyep atthe same time wit h my otherhand.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8838736238519015],0
"/... I wish none of this had happened./"" /""So do all who live to see such times","[1, 2, 2, 3, 3, 1, 4, 3, 0, 0]",[0.9226389052615245],1
"If one more person tries to talk to me about a bun in a certain someone's oven I might hit them. Jsyk. Because truthfully, I could care less. That ship has long since sailed and I don't care.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9203461333941239],0
"It all makes sense now, patterns, cycles. Either I'm really tired, been thinking to much lately. Or I have hand an epiphany. Are you truly open minded? Was any of it real? Probably getting my hopes up for nothing. Only time will tell. If not maybe it will help you next time you find your self here.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9157663266095454],0
"Things didn't go as expected...My little sister is going in for her c-section in about an hour (mom says a 1//2 hour). Please send Jess and Tyler your love, support and prayers! {Please also send some Xanax to a very worried big sister and auntie}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9132621464093719],0
Thank God the week is done I feel like a zombie gone back to life (back to life)..... Can't wait for my sweet heart to get home to me tonight :),"[5, 3, 1, 1, 1, 1, 1, 1, 0, 0]",[0.8966496776598125],1
"Let the rain fall down And wake my dreams Let it wash away My sanity' Cause I wanna feel the thunder I wanna scream Let the rain fall down I'm coming clean, I'm coming clean.... Absolutely Beautiful outside :)","[5, 5, 9, 1, 1, 1, 1, 1, 1, 0]",[0.9764186301420131],1
A 718 # calls my phone I pick up. Lady: hi I'm calling people in your area to see if they are interested in a free trial to the nypost... Me: not only is the nypost like the worst paper after daily news written on a 3rd grade level but my number is registered with national call block and I'm reporting you for illegal telemarketing without a 800# lady: O shit and hangs up ... Lmao,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9529967877161869],0
Never set aside your wants and needs to make people a priority when all you are to them is an option in the future you'll live a life full of what if's and regrets only to find they won't or remember or appreciate anything,"[5, 1, 5, 5, 1, 1, 1, 1, 7, 0]",[0.9370333167044067],1
"I will always let you know That the place where I am is never far You know, you're not alone, don't be alarmed I'll find you no matter where you are So please remember that I'm gonna follow through all the way Oh my love, if it's all I can do, I'll take the fall 4 U Cos I will soar when I lay down with you and give my all 4 U ~POETS OF THE FALL~","[5, 5, 5, 1, 1, 1, 1, 1, 0, 0]",[0.964398785896324],1
/Any man can handle adversity. If you want to test a man's character,"[4, 3, 2, 1, 1, 1, 2, 1, 2, 0]",[0.9057768405276084],1
"Once more it comes to an end. Once more, a new beginning dawns upon us. What are we supposed to do with it? Only you know what to do. What you do will shape you, what you say will talk about you, and what you think will make you grow. Stop. Think for a moment. Take this new chance to change. Have a wonderful new year, and God bless you all.","[3, 3, 1, 5, 1, 5, 1, 5, 0, 0]",[0.9183934002677855],1
"My mom is a non technical manager at dell but she's learned a few things over the years. Such as she has all the RAID levels memorized and when to implement them if not HOW to. Yet she just asked me /Why can't I use an XP disk to fix a windows 7 install?/""""","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9244432016447828],0
"Something I found interesting; Ryan Reynolds and Nathan Fillion both were on the show Two Guys a Girl, and a pizza place and the both played Hal Jordan!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9346800667804296],0
I'm ashamed of men forgetting their anniversary! They should celebrate the day they got their very own sandwich maker!,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 0]",[0.8861893579384347],1
It's like a dream- you try to remember but it's gone. Then you try to scream but it only comes out as a yawn.,"[5, 5, 9, 9, 3, 3, 1, 3, 7, 0]",[0.9822006793431677],1
"If I said I want your body now, would you hold it against me? ;P","[5, 9, 5, 3, 1, 5, 1, 0, 0, 0]",[0.9115373534311986],1
Snow day! Thanks to Capt. Dan for letting me stay home today. My driving-in-a-blizzard skills are completely untested and I'd like things to stay that way.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9218783613118732],0
A reminder to my writing friends - Small Press Publishing Panel at UMSL tonight at 6:00! All the details below.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9169628593294141],0
This endless mercy mild We're crawling side by side With hell freezing over in our eyes Gods kneel before our crime,"[3, 4, 5, 3, 1, 1, 1, 1, 5, 0]",[0.88711762582404],1
/I am not going to sit on my ass as the events that affect me unfold to determine the course of my life. I'm going to take a stand. I'm going to defend it. Right or wrong,"[4, 5, 5, 5, 1, 1, 6, 1, 1, 1]",[0.9826082680201089],1
"We've come a long long way together, Through the hard times and the good, I have to celebrate you baby, I have to praise you like I should Fatboy Slim","[5, 5, 5, 5, 3, 1, 1, 0, 0, 0]",[0.9891881324457882],1
"; We loved to dream aloud, with both feet on the ground. But where's the sense in that? We'd never get it back.","[5, 5, 5, 3, 1, 1, 5, 3, 1, 1]",[0.8895856860800349],1
"; Don't love in black and white, do we? Its just another fight to me. If we don't take it on, we wont get far.","[3, 1, 5, 5, 1, 5, 1, 1, 1, 1]",[0.9146284173359502],1
"shud bear in mind to always upload photos at arnd diz time of e night. uploading was a breeze, no network prob. awesome, really. haha","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9217307805572574],0
"/If I never lied then baby you'd be the truth/"" wait... what? Seriously","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.8980224940458961],1
We're in the stickiest situation since sticky the stick insect got stuck on a sticky bun.,"[1, 3, 1, 1, 1, 4, 3, 1, 0, 0]",[0.9476481934201337],1
"As if mother got me out of bed just to see the dresses. I mean hey, she looks great but I'd rather sleep than watch them get married.","[1, 5, 5, 1, 1, 1, 3, 1, 0, 0]",[0.9174010078579857],1
imma good lil helper... :) Gg to the rescue :) you're welcome Brobro....,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9148201545215802],0
today on the way home I looked up at the dirty grimy sky and on the horizon noticed a murky purple a thin slice of vitality and beauty there if only I was open to seeing it.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9376430017130303],0
"Asthma and putting on clothes backwards today the odds seemed stacked against me, oh well I'll just have to beat the odds up with my handy walking stick and proceed too counselling placement","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9097228733079451],0
Top hat arrived so question is do I make more effort with costume? Seems kind of cheating as I dress vaguely steampunk chap most days to go to 1901 fancy dress party without finding something really different,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9261697155588716],0
My mom made me laugh ...Wiped my tears ...Hugged me tight...Watched me succeed...Saw me fall...Cheered me on...Kept me going strong....And...Drove me a little crazy at times ...But Moms are a promise from God that you will have a friend forever!... Put this on your status if you have or had a wonderful mom you love!,"[1, 1, 1, 1, 5, 1, 1, 1, 1, 0]",[0.9624298018386767],1
Michael starts in the Bright Beginnings class on Monday! Sad to be pulling him from a great daycare but confident this will help him get his speech delay caught up. Wish us luck! 23 days till Chicago!!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9297483234959254],0
"In honor of Opening Day, put this as your status if you know someone who suffers from being a Cubs Fan. Being a Cubs Fan is a real disorder and should be taken seriously. There is still no known cure for CF and sympathy does not help but we can raise awareness. 100% of Cardinals fans will re-post this, simply because we know how to copy & paste, as well as tie our shoes, and win games.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9368050262631453],0
"I signed up for 3 different classes in 3 different class rooms for the Art Center and all the classes are right next to each other. == In a way, I guess that's convenient... I don't have to run around looking for my new class.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9391321153319071],0
_________//\_______\o//___________,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9923223085572642],1
I'm happy with the quote I chose... Don't know if it is relevant enough for my deep thoughts topic though. >.>,"[5, 5, 3, 3, 7, 7, 5, 1, 1, 7]",[0.8904071036325836],1
"Today I enroll for fall classes at JCCC. I thought it was kind of weird that it's so early in the year, but here's hoping everything goes as planned.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8865600075702296],0
"Dude. I haven't played Perfect World in so long (almost a year), that I didn't even realize they had a new expansion, and that its updates will probably take like, two days. :V","[3, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9145993283740536],1
/Any problem is solvable. We can feed the hungry and cure disease. But all of that would be a huge waste of time,"[9, 5, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9298194964347065],1
: you know you spend waaay to much time in Mooch when you start recognising other people who do the same. And a Mr Men film?! Well I'm open to new things.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9121362723008621],0
": The moon is really bright tonight; a simple, single light to guide your way through the night. And now I've come across all contrite with all these rhymes I dare to write. I guess I'll have to hold tight 'til first light!","[3, 3, 1, 1, 1, 1, 1, 1, 5, 1]",[0.9092375374962507],1
": time for some well needed dessert, jazz music and good company :)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8832857020353094],0
: Ok one last push- I really need 6 people to come to the psychology department between now and friday to do my experiment. I'm pretty flexible with times so it would amazing if you could help me out. Either reply on this or text me and I shall be very happy :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9163856650909783],0
": Now for the grand making of pasta, and dancing to the Pink Panther theme tune...! Small mercies I guess :P","[9, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9282827918371189],1
": is taking to green tea like the storm in a teacup you always wished for, thanks David Everton for the tip :)","[1, 1, 1, 1, 1, 1, 6, 1, 1, 0]",[0.9131805998464557],1
": I'm so excited!!!!! Photography course and life drawing later- double dose of artsiness, what more could you want! Oh and it's spectacularly sunny :D","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9128629190522002],0
": My soul is painted like the wings of butterflies. Fairy tales of yesterday, will grow but never die.","[5, 9, 7, 1, 3, 6, 5, 1, 1, 0]",[0.9072421866124186],1
": I've seen angels fall from blinding heights, but you yourself are nothing so divine. Just next in line","[5, 9, 1, 1, 1, 3, 1, 1, 0, 0]",[0.9452840003739746],1
"Another time - Another place, Our temperature would climb There'd be a long embrace. We'd do another dance. It'd be another play, Looking for romance? Come back another day!","[9, 5, 5, 1, 3, 3, 3, 1, 0, 0]",[0.9753804710223425],1
"You're a three decker sauerkraut and toadstool sandwich, ? with arsenic saaaaauce! ?","[7, 1, 1, 5, 5, 1, 5, 1, 7, 0]",[0.9501448489195655],1
"If you can't do something right, call it something different.","[3, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.8864634187129605],1
A bend in the road is not the end of the road... unless you fail to make the turn.,"[2, 1, 1, 1, 1, 2, 3, 1, 2, 0]",[0.9491762489032143],1
I shut my eyes and all the world drops dead. I lift my lids and all is born again.,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9373679316768577],1
It's about damn time to live it up. I'm so sick of being so serious. It's makin' my brain delirious :D,"[9, 9, 1, 1, 5, 3, 1, 3, 1, 9]",[0.9322383022241858],1
Cats are poetry in motion. Dogs are gibberish in neutral. - Garfield.,"[1, 1, 1, 1, 1, 1, 1, 1, 5, 0]",[0.9516767511662624],1
Morticia: Wednesday's at that very special age when a girl has only one thing on her mind. Ellen: Boys? Wednesday: Homicide.,"[4, 4, 1, 1, 3, 1, 3, 3, 1, 0]",[0.9841629066348873],1
"I'm SO ready for school to start. An entire schedule of English & psych classes, a chance to get back into my work-out routine, and back to work with the Sanskrit crew!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9085310937087474],0
"Totally called a troll from a few months ago. A tiny part of me feels joy that I am pursing psychology, and someday I shall be paid beaucoups for such triviality.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9265814891923843],0
"What a bunch of lazy pricks. Disability services STILL needs a notetaker for a class that meets ONCE a week. I'd do it, but I took notes last semester.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9125231479934288],0
"Interview, Sanskrit, gym, and concert tomorrow night! So glad to be busy again after the break!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.909311791999001],0
You're not like all of the others and that is why i love you beautiful freak beautiful freak,"[9, 9, 5, 1, 1, 7, 9, 5, 9, 1]",[0.9695113318731008],1
"I don't know who you think you are, but before the night is through, I wanna do bad things with you.","[3, 1, 9, 3, 5, 1, 1, 1, 1, 0]",[0.8920473551221104],1
"Boom Boom, pull me a beer No pretty drinks, I'm a guy out here Rollin' rollin' rollin' rollin' money like a pimp My bitches on my dick like this.","[5, 1, 3, 3, 1, 1, 1, 1, 1, 5]",[0.9271381404701764],1
"According to Greek mythology, humans were originally created with 4 arms, 4 legs and a head with two faces. Fearing their power, Zeus split them into two separate parts, condemning them to spend their lives in search of their other halves.","[1, 2, 5, 3, 1, 1, 1, 1, 1, 0]",[0.9688614456789418],1
"Don't you say that I've gone crazy. Because I haven't gone crazy yet. I just lost my mind, But I still got you.","[5, 3, 5, 1, 1, 1, 1, 0, 0, 0]",[0.9036540630080859],1
"The flower said, /I wish I was a tree","[3, 1, 4, 1, 1, 1, 7, 1, 0, 0]",[0.8976513282094835],1
"if EXPOSURE is modernism, then animals are most modern among all..","[2, 1, 1, 1, 1, 1, 3, 1, 1, 0]",[0.8903624886083524],1
"A dream about capture You dream that you are walking along a straight path in a dark green forest. The air is pine-scented, cold and clear. The path narrows. An ambush! A soldier leaps out of the trees in front of you, brandishing a sword. You stop. You could be looking into a mirror - this soldier could be your twin. You ready your sword. We shall see who is capturing whom, here.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9683165504385234],1
*sigh* nobody has given me the oppertunity to use my favorate one liner lately...,"[3, 1, 1, 5, 1, 1, 1, 5, 3, 0]",[0.8844847065937319],1
"Robin Hood: Kindly let me pass. Little John: Uh, no. Sorry, but a toll is a toll, and a roll is a roll, and if we don't get no tolls, then we don't eat no rolls. [proudly] I made that up. Robin Hood: It's very fascinating. But I'm afraid I'm going to have to hurt you. - Robin hood: Men in tights","[3, 4, 1, 1, 1, 11, 9, 1, 0, 0]",[0.9739208214232582],1
"I think that whoever likes this sudden unwanted burst of 70+ degree temperatures should move south and take this weather with them. Leave those of us who like milder seasons alone! Spring is supposed to be warmer than winter, but it's not summer yet, goddamn it, so QUIT IT","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9268340678340514],0
"I should really stop looking at cosplays on deviantART, because it's REALLY, REALLY making me want to make a costume. Something which I neither have the time or money to do. And anyway these people on devaintART are completely insane when it comes to their stuff, to the point where they look like the jumped straight out of the show//movie <_<","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9567160278076815],0
/To live is the rarest thing in the world. Most people exist,"[1, 3, 2, 1, 1, 1, 1, 1, 5, 0]",[0.8895458777615227],1
"Got to make a plan, Got to do what's right, Can't run around in circles, If you wanna build a life, But I don't want to make a plan, For a day far away, While I'm young and while I'm able, All I want to do is...","[9, 5, 3, 1, 1, 1, 3, 1, 1, 0]",[0.9105075392865986],1
Last day in Japan Town. Back to Warsaw tomorrow. I miss the good old Europe.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.8858183357759497],0
"is packing to leave tomorrow for a Warsaw-Cyprus-London-Warsaw 1-week trip. If you are in London on 3//4//5th Feb, drop me a line and we could try to catch up :)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9158398984312407],0
"Rutgers University paid Snooki $32,000 (that money was obtained from mandatory student funds) to speak at their university. An exact quote from her speech /Study hard","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.955438610359022],0
"Quote of the day, /Now I know how George Washington felt when Napoleon beat him at Pearl Harbor./"" Just...no.""","[4, 1, 1, 3, 1, 1, 3, 3, 1, 0]",[0.8934005902356108],1
"Go ahead, take a chance. I'm waiting for you to see that it may not be perfect but its worth a shot. Come on girl let's give it all we got.","[3, 5, 5, 5, 3, 1, 5, 1, 0, 0]",[0.9416037752212629],1
Life is not tried it is merely survived when your standing outside the fire.,"[9, 5, 2, 5, 1, 5, 6, 5, 0, 0]",[0.8842523461306],1
"As we travel down this road called life all we can really hope for is that we made an impression on the right people at the right time, and ultimately we hope to impress someone enough that they travel with us.","[1, 7, 1, 3, 1, 7, 1, 1, 0, 0]",[0.9207796049349188],1
never see the present 'cause you're always looking back//counting down the seconds to a heart attack,"[5, 1, 1, 1, 1, 1, 1, 0, 0, 0]",[0.887859149063791],1
just found a harry potter manga that follows james potter and snape when they were in school *freaks out in excitement* but i almost have to go to bed. :(,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9127383251684603],0
/That's worth rephrasing: If you considered yourself a Cancer under the tropical zodiac last week,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9608833150306703],1
"Taking a look back at all my posts, two things come to mind: /How in the hell did I come up with that!? That was genius!/"" or /""What in the hell possessed me to write that!? That was totally retarded!/"" I did have a good giggle for a minute or two.""","[3, 1, 1, 1, 5, 1, 1, 0, 0, 0]",[0.8975911870811204],1
I had to wake up early cause I'm going somewhere tonight and I have to clean my room cause I'm not gonna be here. My dads on hell of a genius.,"[5, 5, 5, 1, 3, 1, 1, 1, 1, 1]",[0.9076313409147838],1
"I understand that Scissors can beat Paper, and I get how Rock can beat Scissors, but there's no way Paper can beat Rock. Paper is supposed to magically wrap around Rock leaving it immobile? Why can't paper do this to scissors? Screw scissors, why can't paper do this to people? Why aren't sheets of college ruled notebook paper constantly suffocating student as they attempt to take notes in class?","[1, 1, 4, 5, 1, 2, 1, 1, 1, 0]",[0.981216759085992],1
"Cause you're a pretty little windstorm out on the boulevard Something like a sunset, oh you're a shooting star And I might drive myself insane If those lips aren't speakin my name","[9, 1, 1, 3, 3, 5, 5, 5, 0, 0]",[0.9825395347542876],1
"I'm reading a book pig, I'm reading' a book! Don't you ever interrupt me while I'm reading a book! ;P","[5, 5, 7, 1, 5, 1, 1, 1, 0, 0]",[0.9718088534227206],1
Grams: What day is today? Me: Hang on. Let me consult my psychic socks. *looks at the bottom of foot* They say it's Wednesday. Grams: You are the strangest child I have ever raised. Me: They also say I should receive my check from you today. Grams: ...I shouldn't have bought you those stupid socks.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9132890869216795],0
"It completely baffles me how kids can have such honest hearts. What changes as we grow up? Why do we lose that ability to tell the truth? I mean, if you think about it, telling the truth really isn't so hard. We just make our lives 10 times more problematic when we choose to be dishonorable. If we were all moral people, and everyone took after our examples, do you think it's possible we could change the world?","[1, 1, 1, 4, 2, 1, 1, 1, 1, 0]",[0.9216851294440761],1
"shake it, got to shake it, shake it like a poloroid picture ;)","[9, 5, 5, 1, 1, 9, 1, 1, 0, 0]",[0.9656119213213021],1
"Don't you hate it when you're in bed and txting, and then all of a sudden your phone decides to be ninja and slips through your hands and attacks your face? <3","[1, 1, 1, 1, 3, 1, 1, 1, 1, 0]",[0.920736997481738],1
"3 bottles of bleach: $15.00. One rope, 3 rolls of duct tape, and a shovel: $35.00. 3 boxes of trash bags: $10.00. The look on the cashiers face: Priceless! :D","[4, 1, 1, 1, 5, 1, 7, 1, 1, 0]",[0.9778817969256294],1
"bahaha! so i drank coffee for the first time tonight and lemme tell you, IT'S FRIGGIN AMAZING!! :D my grandparents won't let me have anymore though :(","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9097686809896426],0
"Dear eyelashes, wishbones, dandelions, pennies, shooting stars, 11:11, and birthday candles. Do your job.","[1, 1, 1, 2, 1, 4, 1, 1, 1, 0]",[0.9608800472169626],1
"/Cause I need freedom now And I need to know how To live my life as it's meant to be. But I will hold on hope And I won't let you choke On the noose around your neck And I'll find strength in pain And I will change my ways I'll know my name as it's called again./""""","[9, 5, 3, 3, 3, 1, 7, 5, 1, 0]",[0.9827701363444132],1
"[poke] me if you ever had a crush on me. [like] this status if I'm a good friend. [message] me if you ever wanted a relationship. [comment] on this if we had any great memories. If you feel brave, Copy this and post it on your status ;)","[1, 5, 1, 1, 1, 1, 4, 1, 1, 0]",[0.9016726007157455],1
Does anyone else make a wish at 11:11 PM? I feel so stupid and little girlish when I do it. lol :),"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9118110761716337],0
/Don't part with your illusions. When they are gone you may still exist,"[4, 3, 2, 4, 3, 3, 3, 1, 2, 0]",[0.911205214022445],1
"so camping with friends today, coming back Sunday. Let's pray that I don't like freeze to death or get mauled by a bear or get lost in the woods after dark or fall off a cliff or... okay whatever lethal//dangerous scenario you can think of, let's just pray it doesn't happen, kay? Kay.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9405558052657996],0
Last weekend before school starts again..ahhh! LOL Tomorrow = gym time (that will make it 4x//week for 3 weeks in a row...woop!) then Suzy is coming to visit for the 3 days..yaay! :) It'll be a nice last deep breath before getting back into the (or under the?) water hehe,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.916018943202573],0
Week 2 of the term starting and my head is so not in school..I gotta get back in the game! Maybe a month off for break was a little too long lol,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9061740750342636],1
There is a light at each end of this tunnel,"[3, 2, 1, 5, 4, 1, 1, 0, 0, 0]",[0.8884848568501378],1
"If I had a chance for another try, I wouldn't change a thing, it's made me all of who I am inside","[9, 3, 1, 1, 1, 1, 1, 5, 0, 0]",[0.9126743232553883],1
Love' has nothing to do with what you are expecting to get - only with what you are expecting to give - which is everything. BLAHHH BLAHH BLAHHH AHH AH !!,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9239030171250808],1
Loose these shackles of pressure.Shake me out of these chains... Man I need a release from this troublesome mind.,"[5, 9, 3, 9, 1, 7, 3, 7, 1, 7]",[0.9403350887176641],1
"I've made a few changes but my feelings for you stay the same. Your smile, the sound of your voice and your laughter are always in my thoughts. But You my Sweet Angel; you'll always be in my heart.","[5, 1, 1, 1, 7, 3, 1, 5, 0, 0]",[0.8865971825955901],1
"_____ has long been a magnet for dreamers and misfits, people who think that the unsullied enormity of _____ will patch all the holes in their lives.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9118075386802688],0
