,text,id,negative_ny,userid
1455,just found a harry potter manga that follows james potter and snape when they were in school *freaks out in excitement* but i almost have to go to bed. :(,2266,3,5f86969fe97dd82aba8a683fe7ce6460
1551,Well I got the crap man-handled out of me by my stats final and my ass is a red. But I think I did ok. Hopefully I'm right and it won't try to finish the job.,2360,3,61e7f6145fd03d709cabbde3faf33412
1670,*almost asleep* *phone vibrates* ARE YOU FREAKING KIDDING ME RIGHT NOW!? I MEAN SERIOUS--Oh. It's you. ?,2489,3,6262f9ea246e00408561aa9a73c49175
1698,5 gb left til cataclysm trial :) and time to see what that noob has done to my account :(,2520,3,64463aa93c9145fa0724a9e89ea7be2a
1699,1 a.m. and homework done..why do I procrastinate again? Geesh. *jumps into bed*,2522,3,66495ec54feb9e2399db05a67a80f2c6
1759,why didn't they WARM us?? uhh why?? hahaha,2582,3,7175a46eaf9d0a6e00c562bfaa614360
1770,From sublime to ridiculousness there is only one step.,2593,3,7175a46eaf9d0a6e00c562bfaa614360
1909,"Wow, not sure how I feel about Allstar Weekend equating themselves with Selena Gomez and the Jonas Brothers.....",2725,3,82e932005d8c94bb93bcb54fa19f421c
1920,"Almost told my mom to be safe, don't have sex, and use a condom. Luckily, I caught myself and just told her to be safe...She'd probably wonder how I knew what a condom was O.o",2736,3,82e932005d8c94bb93bcb54fa19f421c
2189,Whoaaaaa >< lol I fell asleep on my couch while I was talking to friends on skype... FAIL,3006,3,8c393982479748c5a53acaa7a3717c71
2207,"So apparently when I say /Dang It/"" *edited for friends benefit* on Black Ops I sound like something off of south park and it's funny....and cute <_< FML lol""",3024,3,8c393982479748c5a53acaa7a3717c71
2521,It's weird to see Nine Inch Nails dude win an Oscar.,3335,3,b121d90e407cd597da17491f36e7b2c5
2584,"Completed my Book Critique, a bit worried about my absolute lack of quotes, but the rubric did not state quotes were required and they simply didn't fit into the overall style of the critique..... GO GO POWER FACEBOOK MONOLOGUE!",3399,3,b5efdb17945bc5ac2504e6c0c70f41b1
2674,Driving to Tally today...hopefully I can stay awake! SO TIRED O.o,3490,3,c0289bdb4cd4eda90653b2c84af61e03
2756,Off to work. Woo. Actually been off to work since.6. But meh 25 min late. Lol anyway. Today better be decent.,3572,3,c70b15854118907c8f0a234e2ba44bbc
2781,only good thing about the super bowl is glee comes on after,3597,3,cd86d1e6d68c3770eaec0db419dceb2f
2788,trying to teach mom to play epic mickey for the wii..... ya epic failer on her part,3604,3,cd86d1e6d68c3770eaec0db419dceb2f
2897,"For some bizarre reason i cannot fathom, I have had a Soulja Boy song stuck in my head aaaaaaalll daaaaaayyy loooong... /now watch me",3714,3,d5380466e18422d7b2c2d54d57cbbde2
2966,"Too excited to sleep, and this is a bad thing.",3785,3,e076953cd3fcf8927b8f21574c0890f3
3005,I don't think I've ever smiled so much such shortly after doing something sooo stupid.,3824,3,e9970fe8848e9505b52d414d81611de8
3026,"Happy with my B in psychology.. :D Got a D in maths, though that was better than I thought I would get.. :\",3845,3,eaeabcfe25866f0455d349bae2450d88
3066,"Never dissmiss anyone, Alway listen to what other people have to say, because you never know where the next great idea wil come from'",3886,3,f358b75c71d85c91ec0452c6114e3b15
3067,I have to say my speech in about 2 hours :S,3887,3,f358b75c71d85c91ec0452c6114e3b15
3142,Kicking a ball through a car window supplies hours of fun but unfortunately does not finish my university work,3965,3,f8708568eff1535c85247b28dc126f9b
3783,is off to work for the first time in two weeks and doesn't get a day off for ten days :( at least i cant use my xbox so im not missing anything lol :),626,3,64463aa93c9145fa0724a9e89ea7be2a
