id,userid,post_count,text,post_time
17,2a9b90b41e9399bb331fef2582f657c3,208,Bored as hell.,21/02/2011 03:01
18,2a9b90b41e9399bb331fef2582f657c3,208,"So bored. Some chat, text, or call me. .___.",23/01/2011 03:09
19,2a9b90b41e9399bb331fef2582f657c3,208,... Where the hell is everyone?,23/01/2011 22:32
20,2a9b90b41e9399bb331fef2582f657c3,208,I'm so bored.... Pah. I don't want to study for biology.,25/01/2011 03:06
21,2a9b90b41e9399bb331fef2582f657c3,208,LA was boring as Ffffffffffffffffff. But got an awesome present for Shayla. x],30/01/2011 07:04
22,2dca898dfbdae6716a587adbfd99c542,49,I have a cold and a feel horrible,03/02/2011 17:24
23,2dca898dfbdae6716a587adbfd99c542,49,I'm sick with a sore throat and I think my strep throat might have come back that would be the 5th time I've had it in a year,03/03/2011 01:46
24,2dca898dfbdae6716a587adbfd99c542,49,Cry my betts fish died and the other ones dying:(,17/02/2011 22:52
25,2dca898dfbdae6716a587adbfd99c542,49,cry my other betta fish died and the vet said tha t,19/02/2011 14:01
26,2dca898dfbdae6716a587adbfd99c542,49,booh im crying my Betta fish died,24/03/2011 19:39
27,39b2af957c2488970cb89c161b6bf94e,143,: why does life have to get in the way of my affair with my bed?,08/02/2011 09:47
28,39b2af957c2488970cb89c161b6bf94e,143,: whoo for the return of insomnia...!,09/02/2011 02:37
29,39b2af957c2488970cb89c161b6bf94e,143,": cold, tired and overwhelmed. I have no energy to hope that tomorrow will be better...",14/03/2011 21:39
30,39b2af957c2488970cb89c161b6bf94e,143,: and we lost the house...,15/02/2011 20:43
31,39b2af957c2488970cb89c161b6bf94e,143,: my body is screaming at me to stay in bed!,15/03/2011 12:27
32,39b2af957c2488970cb89c161b6bf94e,143,": Lab report, why do you have to be so hard? I don't really want to hand you in and I haven't properly started you yet ://",16/02/2011 18:56
33,39b2af957c2488970cb89c161b6bf94e,143,: my mind in its current state is very much dependent on (possibly addicted to) energy drinks until I return home later...,16/03/2011 17:07
34,39b2af957c2488970cb89c161b6bf94e,143,: currently staring at the list of my work and trying to slide down my chair so I can't see it.,17/02/2011 22:35
35,39b2af957c2488970cb89c161b6bf94e,143,: I wonder how receptive lab reports and journals are to being growled at...,26/03/2011 22:00
36,4764518d32334248e6ebbf681a18fd0c,94,Half of my bank account is gone. THANKS TEXTBOOKS ILY.,19/01/2011 13:38
37,4764518d32334248e6ebbf681a18fd0c,94,"Money buys happiness. I know this because I'm poor, and I'm not exactly spending my time testing expensive food on white beaches.",20/02/2011 01:42
38,4908adae6cf09defb838925defcc5e61,110,"Got two of THE BIGGEST ulcers at the back of my mouth, positioned fucking wonderfully so I can't open my mouth, swallow, or eat, without intense pain. One of the repercussions of new years. FANTASTIC -___-",03/01/2011 20:12
39,4908adae6cf09defb838925defcc5e61,110,Oh ffs i think i'm getting ill.,04/01/2011 14:42
40,4908adae6cf09defb838925defcc5e61,110,"FUCK YOU, ULCER, FUCK YOU.",05/01/2011 15:23
41,5cc136477bfe3fcfe809dc451e4243ef,69,Is so bored. This job is going to kill me with bordem.,06/03/2011 00:50
42,6665bcd5e5324938fdbb5ea467fb5e3f,25,Bored of homework -_-*,03/02/2011 00:06
43,6665bcd5e5324938fdbb5ea467fb5e3f,25,"Bored. as. can. be. P.S: i looked u up to add you, and i clicked the wrong person, and it was someone from the kkk...",03/02/2011 02:03
44,6665bcd5e5324938fdbb5ea467fb5e3f,25,SOOO BORED D: D: D: D: D:,12/02/2011 01:03
45,7e450a79b8bacd420727a5dd9305f8d8,48,has been awake since stupid o'clock AGAIN!!! Grrrrrr!,04/01/2011 05:15
46,7e450a79b8bacd420727a5dd9305f8d8,48,is awake at stupid o'clock again!,30/12/2010 05:40
47,82e932005d8c94bb93bcb54fa19f421c,168,"I hate waking up in the middle of the night!!!! Yes, the middle of the night. I went to bed at midnight, that makes 5 a.m. the middle of the night, yes.",17/02/2011 12:09
48,82e932005d8c94bb93bcb54fa19f421c,168,"Hey man, nobody's awake at 3:30. That's just messed up.",25/02/2011 10:32
49,82e932005d8c94bb93bcb54fa19f421c,168,"And this is why I don't go to bed early. Inevitably, I will wake up around 3 and not be able to fall back asleep. Stupid circadian rhythm...why can't it just leave me alone??",30/01/2011 10:35
50,8c393982479748c5a53acaa7a3717c71,162,Staying off the internet for a while....the pain in my hand is just too painful to type :// Love you guys!,06/08/2011 07:38
51,8c393982479748c5a53acaa7a3717c71,162,"Ugh hand pain is starting to get worse <_< Meh anyway registration tomorrow and party saturday. This week will be amazing <3 except that Bleach has no manga out this week lol but oh well I have to be patient =P Looking forward to October//November so I can get MW3, Uncharted 3, Batman Arkham City and some other games :D",09/08/2011 09:35
52,8c393982479748c5a53acaa7a3717c71,162,Great.......threw up before I could even go to school....today is not going to be fun. I seriously despise this continuous stomach pain -.-,29/08/2011 12:41
53,8c393982479748c5a53acaa7a3717c71,162,Dang :// threw up again. Ugh seriously i hate how we can only miss so much school. Today is going to suck.,31/08/2011 12:57
54,8ff6192bbbb717c36097b33e244d91de,79,Sickness only makes being home alone worse. :(,08/03/2011 06:27
55,8ff6192bbbb717c36097b33e244d91de,79,"I feel sick. Oh, wait. I am.",10/03/2011 06:20
56,a504bfd98bdc8e7a61edcfe8c4e2a801,65,Im tired of tricks their starting to get on my dank nerves,11/03/2011 19:03
57,a504bfd98bdc8e7a61edcfe8c4e2a801,65,these tricks gettin on my damn nerves and so is obama get ur shit straight dude help libya or u WON'T be reelected we dont like febal politics coward presidents who who fogien politics is to give up our millitary is the strongest in the world for a reason make our enemys and dictators fear us again and we could put an end to all this crap,11/03/2011 20:01
58,a504bfd98bdc8e7a61edcfe8c4e2a801,65,I need something to give me something to change my life and give it meaning,15/02/2011 05:17
59,a504bfd98bdc8e7a61edcfe8c4e2a801,65,"/All i want to do is trade this life for something new...holding on to what i havent got.../"" - Waiting for the End""",16/03/2011 05:27
60,b15cf300b5693210682e36cfe5f9789b,44,What another boring day with no plans again!,12/02/2011 15:50
61,b15cf300b5693210682e36cfe5f9789b,44,Ugh! What a boring morning!,28/01/2011 17:36
62,b15cf300b5693210682e36cfe5f9789b,44,I am so bored!,30/01/2011 00:04
63,b5efdb17945bc5ac2504e6c0c70f41b1,53,Why........SO..BOOOOOOOOOOOOOOOOOOOOREEEED!,01/03/2011 02:56
64,b5efdb17945bc5ac2504e6c0c70f41b1,53,"Gah I can't focus on the homework I have, it's hard enough for me to do chemistry and math with notes, without notes or a lecture I am left fumbling in the dark T_T",15/03/2011 23:25
65,b5efdb17945bc5ac2504e6c0c70f41b1,53,Yeah this chemistry makes no sense to me.....I really needed to have gotten help BUT OH WAIT THANKS SICKNESS FOR MAKING THAT IMPOSSIBLE >_>,17/03/2011 02:24
66,b5efdb17945bc5ac2504e6c0c70f41b1,53,"Got bored, woke up at 6",19/02/2011 13:33
67,b5efdb17945bc5ac2504e6c0c70f41b1,53,"Ch...I give up on this chem work, it simply isn't clicking. I guess I'll try to setup some study time with Ms. Cumsille so I don't try to take the test with no knowledge.",28/03/2011 02:55
68,c0289bdb4cd4eda90653b2c84af61e03,149,Feels sick again :( I'm so sick of being sick!,02/02/2011 17:09
69,c0289bdb4cd4eda90653b2c84af61e03,149,Can't stop sneezing!,03/02/2011 18:50
70,c0289bdb4cd4eda90653b2c84af61e03,149,Yay allergy season!,03/03/2011 12:55
71,c0289bdb4cd4eda90653b2c84af61e03,149,Feels horrible :'( It's not fair that I'm ALWAYS sick.,04/02/2011 15:34
72,c0289bdb4cd4eda90653b2c84af61e03,149,My allergies are driving me nuts!,04/03/2011 17:31
73,c0289bdb4cd4eda90653b2c84af61e03,149,Hit my freaking toe!,08/02/2011 14:03
74,c0289bdb4cd4eda90653b2c84af61e03,149,Feels like I broke the top of my toe. Ouchy!,08/02/2011 16:27
75,c0289bdb4cd4eda90653b2c84af61e03,149,Can't stand all these nose bleeds :( It makes me all queezy ://,16/02/2011 04:25
76,c0289bdb4cd4eda90653b2c84af61e03,149,Forgot to set my alarm last night so woke up with 10 minutes to get ready then got ANOTHER nose bleed. Perfect start to the day.,16/02/2011 14:34
77,c70b15854118907c8f0a234e2ba44bbc,59,Is bored as heck sitting here all along. Lol,19/03/2011 23:54
78,cd86d1e6d68c3770eaec0db419dceb2f,93,i am soo tired,02/03/2011 22:11
79,cd86d1e6d68c3770eaec0db419dceb2f,93,im soo tired,04/03/2011 02:19
80,cd86d1e6d68c3770eaec0db419dceb2f,93,i'm just tired of it all,04/03/2011 22:14
81,cd86d1e6d68c3770eaec0db419dceb2f,93,bored,05/02/2011 18:05
82,cd86d1e6d68c3770eaec0db419dceb2f,93,sooo tired epic mickey goes back tommorow :( i'm going to miss i,10/02/2011 04:12
83,cd86d1e6d68c3770eaec0db419dceb2f,93,BORED,10/02/2011 21:21
84,cd86d1e6d68c3770eaec0db419dceb2f,93,i thank those who wrote me some letters of recomendations! im sorry but there sooo funny because NO ONE spelt my name and coach hoods was very funny just because he wrote may time she she she she she in it but umm there is one his!?!?! i know teacher have a fill in the blank one and just drop names and genders! i thought i every one would stop calling me a boy after 6 grade >.<,15/03/2011 03:09
85,cd86d1e6d68c3770eaec0db419dceb2f,93,omg i so bored >.<!!!! haha i found a way on to facebook!!!! take that school!!!,15/03/2011 16:31
86,2a9b90b41e9399bb331fef2582f657c3,208,I think I'm going to kill myself by accidentaly swallowing the oil paint solevent... I am officially afraid of oil painting.,12/02/2011 21:05
87,0724fe854bd455061ba84efecdeff469,64,Status: weird. Subject's mind is clouded with several thoughts and nothing at the same time. Diagnosis: unknown.,01/02/2011 03:17
88,0724fe854bd455061ba84efecdeff469,64,"Status: in vigilance. Subject's mind seems to be restless, even if his whole body is begging for rest. Diagnosis: unknown.",09/01/2011 09:02
89,0724fe854bd455061ba84efecdeff469,64,Status: worried. Subject's mind is clouded with doubts and thoughts about his nephew's sudden convlusion. Subject doesn't seem to care as of right now of his life. Diagnosis. unknown.,12/01/2011 02:47
90,1c1a61d11a10f9fa967f250095792db3,37,Y'know when you feel kinda helpless & don't know what to do?,16/04/2011 00:38
91,2a9b90b41e9399bb331fef2582f657c3,208,CRAP. Vocab test tomorrow. TT.TT,08/03/2011 08:55
92,2a9b90b41e9399bb331fef2582f657c3,208,Ahhhh shit. Did we have to read for bio? I'm screwed...,14/02/2011 09:59
93,2a9b90b41e9399bb331fef2582f657c3,208,"Mannn... I just hope I did all my homework or I'm screwed. I know that I didn't completely finish the study guide for biology, but I'll just copy some of those answers.",24/01/2011 06:43
94,2a9b90b41e9399bb331fef2582f657c3,208,Damn essay!! I hope I can finish it early enough to start my outline.,24/02/2011 05:34
95,2a9b90b41e9399bb331fef2582f657c3,208,"What the f...? How the hell are we suppose to write the outline... I have my doubts on what you told me, Christine Kim. >.<",25/02/2011 04:48
96,39b2af957c2488970cb89c161b6bf94e,143,": stats, stats, stats, stats, oooo language and anxiety, stats, stats, stats... *sigh*",08/03/2011 01:59
97,39b2af957c2488970cb89c161b6bf94e,143,": Everything is so still outside today. It's unnerving, like something's waiting around the corner...",29/03/2011 13:55
98,39b2af957c2488970cb89c161b6bf94e,143,: Really nervous about this meeting...(!),31/03/2011 10:07
99,4908adae6cf09defb838925defcc5e61,110,UCAS STRESS!!!!!,14/12/2010 16:49
100,4908adae6cf09defb838925defcc5e61,110,You can fuck off now anxiety.,29/12/2010 12:43
101,49fb9fce8f4dc022318b8cd432aad8b6,36,is it always very difficult to prepare for the exams you are retaking?? :(,25/05/2011 18:56
102,8c393982479748c5a53acaa7a3717c71,162,"Got 20 minutes or so of sleep to wake up feeling increasingly sick and nauseous. The stomach pain won't go away either and I am not going to risk eating, because if I do there's a chance I'll be sick x.x Screw you anxiety D:< I shall conquer you by the end of the day.",22/08/2011 11:46
103,8c393982479748c5a53acaa7a3717c71,162,"I'm starting to become extremely worried about my stomach pain. It's not bad at my house, but it's there. On my way to school or at school though it becomes twice as bad. And for some reason....it becomes unbearable around someone I truly care about x.x Ugh.",27/08/2011 02:18
104,8ff6192bbbb717c36097b33e244d91de,79,Apprehensive.,01/03/2011 18:09
105,a504bfd98bdc8e7a61edcfe8c4e2a801,65,What am I goin to do I know I'm not perfect I know I rush I know I'm lost but I don't know what to do,07/02/2011 23:51
106,a504bfd98bdc8e7a61edcfe8c4e2a801,65,what to do? what to do? what to do?,29/03/2011 22:44
107,f8708568eff1535c85247b28dc126f9b,162,Feeling nervous for a change..,16/03/2011 23:28
108,fbd681e79ebca2cd9509218403f23ec6,41,uh.. have I done something wrong?,01/02/2011 18:56
109,3ac58ad39d81acfe169aadc4815effe6,62,"I kinda wish someone would just tell me what to do at this point, is that bad?",18/01/2011 04:13
110,8c393982479748c5a53acaa7a3717c71,162,"No school for me today, checked out.. again ._. I think I may need to go to a doctor to either see what's wrong with me or get some anxiety medication. Confession 10: I would willingly give my life, soul, heart, and being to help someone in any way. If it meant they could be happy, live a good life, and have no major pain. I would do this at any time and even for someone I truly hate.",29/08/2011 16:00
111,8c393982479748c5a53acaa7a3717c71,162,I haven't been this scared of myself in a long time..in fact theres only two things i'm truly afraid of but now there's 3. Also two blisters x.x i still have scars from previous ones. Meh party saturday i'm way excited :),07/08/2011 09:18
112,009d96a823b6f6c085c092fb177491f6,49,"Dear Mr. President, I hear you would like to freeze pay rates for soldiers starting next year. Would you also consider cutting your own pay to save more money for our country? While you're at it, lets cut down all congressman's pay too. If the people who risk their lives don't get an increase in pay, why should we continue raising pay for those who take no risks and reap the benefits? REPOST if you support the troops",08/04/2011 15:04
113,009d96a823b6f6c085c092fb177491f6,49,"Hi LORD, its me, things r getting bad here, gas prices r too high, no jobs, food & heating costs r too high. I know some have taken U out of our Schools and Government . But LORD, I'm asking U to come back & re-bless America, we really need U. Thanks LORD, I love U. The LORD says when 2 or more r gathered in My Name, there I will be also. (Let's see how far this goes. Please Re-Post.)",15/03/2011 23:41
114,0b12516100c16f779b152858619786ff,61,"A million words wouldn't bring you back, I know because I've tried. Neither would a million tears, I know because I've cried.",03/02/2011 04:19
115,1789589a6d2bba0f09d768f8f3445be5,50,"I used to give fuck but now I can give a fuck less What do I think of success? It SUCKS, too much stress. - Eminem",03/02/2011 19:04
116,193165601dfad67e79ef52b2caf9fd9e,33,"; Hiding wont hide it, smiling wont hide it. Everyone's tried it now, and failed somehow.",03/03/2011 11:07
117,193165601dfad67e79ef52b2caf9fd9e,33,"; Hating wont do it, denying wont do it. Crying wont drown it out, what you said.",03/03/2011 19:49
118,193165601dfad67e79ef52b2caf9fd9e,33,"; Now a whisper's calling me. And why does my skin crawl, with the pain of insanity?",27/02/2011 18:51
119,29cda473b52e1c75fbfe958ed3aec565,32,The Girl you just called fat? She has been starving herself & has lost over 30lbs. The Boy you just called stupid? He has a learning disability & studies over 4hrs a night. The Girl you just called ugly? She spends hours putting makeup on hoping people will like her. The Boy you just tripped? He is abused enough at home. There's a lot more to people than you think. Put this as your status if you're against bullying,15/03/2011 03:32
120,29cda473b52e1c75fbfe958ed3aec565,32,"Please put this on your status if you know, or are related to someone killed on Alderaan when it was obliterated by the Death Star. My wish is that people will understand that the Empire is a band of murdering scum. The Rebel Alliance wants only to bring peace to the galaxy, but the evil empire continues to kill innocent civilians. 93...% won't copy//paste this. Will YOU make this your status for at least one hour?",18/03/2011 03:57
121,2fba0f9dccc84f3516d8b553426af527,51,"If I die young, bury me in satin, lay me down on a bed of roses. Sink me in the river at dawn, send me away with the words of a love song.",15/03/2011 02:59
122,3ac58ad39d81acfe169aadc4815effe6,62,I don't want to be your good time I don't want to be your fall-back crutch anymore I'll walk right out into a brand new day Insane and rising in my own weird way I don't want to be the bad guy I don't want to do your sleepwalk dance anymore,15/01/2011 18:50
123,3ac58ad39d81acfe169aadc4815effe6,62,"Ain't it funny? I think it's funny, I'm gonna laugh until I don't cry honey, 'cause Shedding tears just ain't my style But I guess I oughta miss ya for a little while...",20/01/2011 22:46
124,4d7ae0617845c6b30eb85b55a991f4c5,41,A thing is not necessarily true because a man dies for it. -Oscar Wilde,21/01/2011 00:41
125,5cc136477bfe3fcfe809dc451e4243ef,69,"/I'm the man and everbody out there knows that I'm the baddest/""-HU4L""",04/03/2011 05:10
126,5cc136477bfe3fcfe809dc451e4243ef,69,"I'm burning for you, burning, like a candle.",26/02/2011 20:54
127,7175a46eaf9d0a6e00c562bfaa614360,55,"Now it has left me blind. And in the dark I can hear your heartbeat, I tried to find the sound but then it stopped. I was left in the darkness so darkness I became.",31/05/2011 16:31
128,82e932005d8c94bb93bcb54fa19f421c,168,"I don't want to know it's over, so save your goodbye kiss . . . I can hardly see what's in front of me, 'cause the vodka's running on empty. I can't stay sober if it's over. -Hinder",07/03/2011 21:38
129,82e932005d8c94bb93bcb54fa19f421c,168,"I'm closing the windows to stay warm, there's a chill in my soul since you've been gone...I'm staying home today, gonna hide away, 'cause it feels like rain.",09/03/2011 04:00
130,8c393982479748c5a53acaa7a3717c71,162,"Broke! Inside, This life, you can never be reborn within, I came this far erase my scars. Fight! This time, Inside, take a break from the lie you live, I came this far, erase my scars.- Erase My Scars: Evans Blue",04/08/2011 02:08
131,cfb021cfbff46ffdb75c7dcafe7c2087,91,"The man who insists on seeing with perfect clearness before he decides, never decides. Henri-Frâ”œÃ¢â”¬âŒdâ”œÃ¢â”¬âŒric Amiel",08/04/2011 01:32
132,cfb021cfbff46ffdb75c7dcafe7c2087,91,/It is always the false that makes you suffer,11/03/2011 02:12
133,cfb021cfbff46ffdb75c7dcafe7c2087,91,"â”œÃ©Î“Ã‡Â£The key is to get to know people and trust them to be who they are. Instead, we trust people to be who we want them to be- and when they're not, we cry.â”œÃ©Î“Ã‡Ã˜",11/04/2011 07:14
134,cfb021cfbff46ffdb75c7dcafe7c2087,91,It's a shallow life that doesn't give a person a few scars. Garrison Keillor,13/04/2011 15:13
135,cfb021cfbff46ffdb75c7dcafe7c2087,91,"/Some cause happiness wherever they go; others whenever they go./"" â”œÃ©Î“Ã‡Ã¶ Oscar Wilde""",16/02/2011 23:30
136,cfb021cfbff46ffdb75c7dcafe7c2087,91,He that lives upon hope will die fasting. Benjamin Franklin,21/02/2011 00:06
137,cfb021cfbff46ffdb75c7dcafe7c2087,91,There came a time when the risk to remain tight in the bud was more painful than the risk it took to blossom. ~Anaâ”œÃ¢â”¬Â¤s Nin,25/02/2011 13:22
138,d5380466e18422d7b2c2d54d57cbbde2,34,"The rumble is low and the heat is high, Got a feeling that there's rain out in the oil black sky, Gonna chase away the devil when that sun does rise, gonna... plead the Blood...",02/02/2011 15:17
139,d5380466e18422d7b2c2d54d57cbbde2,34,Love how a song can change your whole mood... Currently whipping my hair back and forth whilst not letting haters keep me off my grind and fighting until I get there.,12/01/2011 10:44
140,db7f1b0130b2138e13b7bbca9cc63823,50,"So scared of breaking it that you won't let it bend And I wrote two hundred letters I will never send Sometimes these cuts are so much deeper than they seem You'd rather cover up, I'd rather let them be So Let me be, and I'll set you free.",18/02/2011 09:17
141,db7f1b0130b2138e13b7bbca9cc63823,50,"Sometimes it sucks being strong. Because when people know that you are strong, they think that it is okay to hurt you over and over again.",24/02/2011 11:04
142,dcbe08425f5edef5e5c1053f21e83640,31,"In Canada - The Homeless go without eating. In Canada - The Elderly go without needed medicines. In Canada - The Mentally ill go without treatment. In Canada - Our Troops go without proper equipment. In Canada - Our Veterans go without benefits they were promised. Yet we donate billions to other countries before helping our own first. Have the guts to re-post this. 1% will re-post, 99% won't have the guts",02/07/2011 17:29
143,dcbe08425f5edef5e5c1053f21e83640,31,"????????????â”œÃ©Î“Ã‡Ã³?â”œÃ©â”¬â•–~There are moments in life when you wish you could bring someone down from heaven... and spend the day with them just one more time, kiss them goodbye or hear their voice again~ Copy and paste in remembrance of all our loved ones who are not here... gone...but...never forgotten~????????",03/07/2011 12:11
144,dcbe08425f5edef5e5c1053f21e83640,31,"Was on the toilet this morning, eating a bowl of cereal an...What? You think there's something wrong with eating in the bathroom? Did that gross you out? Then why do people suggest breastfeeding mothers feed their babies in the bathroom? If you're a fan of parents and babies rights, I DARE you to put this up as your status. I'm proudly a HUGE advocate for breastfeeding. Yay for B(.)(.)BIES :)",04/08/2011 17:34
145,dcbe08425f5edef5e5c1053f21e83640,31,"Everyday 17 teenagers take their own lives because of bullying. So next time you want to start something, say something, post something, exclude someone or start a rumor - think twice before you do because there's too many bullies getting away with picking on innocent children for silly reasons and pushing the child they bully to suicide. STOP BULLYING NOW! I bet 99% wont post this. If you have a heart, you will",07/08/2011 11:12
146,dcbe08425f5edef5e5c1053f21e83640,31,"The Canadian flag does not fly because the wind moves past it. The Canadian flag flies from the last breath of each military member who has died protecting it. Canadian soldiers don't fight because they hate what's in front of them...they fight because they love what's behind them./ Re-Post this if you support our troops......""",28/06/2011 21:39
147,fbd681e79ebca2cd9509218403f23ec6,41,"So now I step out of the darkness that my life became 'cuz, I just needed someone to talk to, you were just too busy with yourself, you were never there for me... I just stuffed it down.",26/01/2011 19:09
148,0724fe854bd455061ba84efecdeff469,64,"/Human nature is one of the most complext things to learn and one of the easiest things to lose./"" -E.A.W.""",06/01/2011 06:37
149,088bf0ed841bcc366475b3975eb1b9d2,44,I normally hate it when people post quotes but this one just struck a chord. Annie Dillard ~ /An Inuit hunter asked the local missionary priest: If I did not know about God and sin,02/06/2011 12:56
150,1789589a6d2bba0f09d768f8f3445be5,50,"/I ask you to judge me by the enemies I have made./"" - Franklin D. Roosevelt""",23/02/2011 02:17
151,193165601dfad67e79ef52b2caf9fd9e,33,"; We try, we fall, and we live another day. We went for the sky, fell down low and flew too high. But still survived.",08/03/2011 10:28
152,193165601dfad67e79ef52b2caf9fd9e,33,"; Will the angel or the devil, die in ecstasy? There's something coming over you, come over me. Falling in love is never easy, 'cause they're so good. I'm so bad, so let's get ugly.",27/02/2011 17:53
153,2549774d68d7ccbcba069afb45c7e237,60,"You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.â”œÃ©Î“Ã‡Ã˜ ~Friedrich Nietzsche",25/01/2011 07:27
154,29cda473b52e1c75fbfe958ed3aec565,32,"If you have a sister who has made you laugh, punched you, stuck up for you, drove you crazy, hugged you, watched you succeed , saw you fail, picked you back up, cheered you on, made you strong, and is someone you cant live without & someone you can always count on....REPOST THIS IF YOU HAVE A SISTER THAT YOU LOVE",18/04/2011 15:46
155,29cda473b52e1c75fbfe958ed3aec565,32,"Who says Facebook friends aren't real friends? They enjoy seeing you online every day... miss you when you're not there... send condolences if you've lost someone... send you wishes on your birthday... enjoy the photos & videos you post... put a smile on your face when you're down, make you laugh when you feel like crying....... Repost if you love your Facebook friends!!!!!",22/04/2011 00:27
156,29cda473b52e1c75fbfe958ed3aec565,32,"Please copy and paste this as your status if you know someone, or have heard of someone who knows someone. If you don't know anyone, or even if you've heard of anyone who doesn't know anyone, then do still copy this. It's important to spread the message. Oh, and the hearts. ? ? ? For frig's sake, don't forget the hearts. ? ? ?",25/03/2011 03:36
157,29cda473b52e1c75fbfe958ed3aec565,32,"It's Special Education week, and this is in HONOR of all the children who need a little extra help, patience & understanding. Very sadly, most of you probably won't copy and paste this. Will you do it and leave it on your status for at least an hour???",29/03/2011 01:47
158,2fba0f9dccc84f3516d8b553426af527,51,"We may only have tonight, but till the morning sun you're mine, all mine. Play the music low and sway to the rhythm of love. When the moon is low we can dance in slow motion and all your tears will subside. All your tears will dry.",15/03/2011 23:12
159,2fba0f9dccc84f3516d8b553426af527,51,"Hey, I'm a wildflower, growin' in the sunshine, soakin' up the way of life I was raised in. Runnin' barefoot, bloomin' in a summer shower, ponytail dancin' I can't help it, I'm a wildflower.",17/03/2011 02:34
160,2fba0f9dccc84f3516d8b553426af527,51,"/If the bombs go off the sun will still be shining. Because I've heard it said that every mushroom cloud has a silver lining./""""",30/04/2011 23:54
161,39b2af957c2488970cb89c161b6bf94e,143,": He laughs at fear, afraid of nothing. He does not shy away from the sword. He cannot stand still when the trumpets sound.",17/03/2011 12:47
162,3ac58ad39d81acfe169aadc4815effe6,62,"/Medicine is the only profession that labours incessantly to destroy the reason for its own existence./"" ~James Bryce""",15/12/2010 20:12
163,3ac58ad39d81acfe169aadc4815effe6,62,"â”œÃ©Î“Ã‡Â£To be nobody-but-yourself in a world which is doing its best, night and day, to make you everybody else, means to fight the hardest battle which any human being can fight; and never stop fighting.â”œÃ©Î“Ã‡Ã˜ ~e.e. cummings",27/01/2011 05:17
164,3ac58ad39d81acfe169aadc4815effe6,62,"/Pray that there intelligent life somewhere up in space cause there's bugger-all down here on Earth./"" ~Monty Python",30/12/2010 02:58
165,4764518d32334248e6ebbf681a18fd0c,94,"DON'T DRINK & DRIVE AND DON'T RIDE WITH ANYONE WHO DOES! Tipsy Tow offered by AAA: You don't have to be an AAA member, from 6pm - 6am on New Years Eve//Day they will take your drunk self and your car home for FREE! Save this number...1-800-222-4357. PLEASE re-post this if you don't mind. Have a Happy & SAFE New Years Everyone!",31/12/2010 23:23
166,4908adae6cf09defb838925defcc5e61,110,"I can do it like a brother, do it like a dude, grab my crotch, wear my hat low like you ;)",10/01/2011 23:04
167,4908adae6cf09defb838925defcc5e61,110,"If you were a wink, I'd be a nod If you were a seed, well I'd be a pod. If you were the floor, I'd wanna be the rug And if you were a kiss, I know I'd be a hug",26/12/2010 18:02
168,4908adae6cf09defb838925defcc5e61,110,If I was a flower growing wild and free All I'd want is you to be my sweet honey bee. And if I was a tree growing tall and green All I'd want is you to shade me and be my leaves.,27/12/2010 17:06
