,userid,text,id,negative_ny,time,time_diff
4069,fbd681e79ebca2cd9509218403f23ec6,"I'm here without you, baby, but you're still on my lonely mind...",4095,1,2011-01-07,39
4068,fbd681e79ebca2cd9509218403f23ec6,I can see for miles and miles and miles and miles and miles and miles....,4098,4,2011-01-08,38
4066,fbd681e79ebca2cd9509218403f23ec6,I FEEL ALIVE!!!!!!!!!!!!,4100,2,2011-01-10,36
4067,fbd681e79ebca2cd9509218403f23ec6,Thank you Facebook. I appreciate this so much.,4101,2,2011-01-10,36
4065,fbd681e79ebca2cd9509218403f23ec6,Our poor laptop is dying...,935,1,2011-01-14,32
4063,fbd681e79ebca2cd9509218403f23ec6,India foxtrot yankee oscar uniform charlie alpha november uniform november delta echo romeo sierra tango alpha november delta tango hotel india sierra charlie oscar papa yankee alpha november delta papa alpha sierra tango echo tango oscar yankee oscar uniform romeo sierra tango alpha tango uniform sierra,4102,5,2011-01-17,29
4064,fbd681e79ebca2cd9509218403f23ec6,"/All the little jagged ends of my life have come together to form a complete and mystical... whole./""""",936,1,2011-01-17,29
4062,fbd681e79ebca2cd9509218403f23ec6,I think I'm the only person who can turn around and accidentally smack her face into a wall that she knows is there...,937,1,2011-01-19,27
4061,fbd681e79ebca2cd9509218403f23ec6,But they couldn't prevent Jack from being happy..,4104,2,2011-01-20,26
4060,fbd681e79ebca2cd9509218403f23ec6,"One day too late, just as well.",4108,2,2011-01-23,23
4059,fbd681e79ebca2cd9509218403f23ec6,"Feels like I'm dying, yeah.",938,1,2011-01-25,21
4058,fbd681e79ebca2cd9509218403f23ec6,"So now I step out of the darkness that my life became 'cuz, I just needed someone to talk to, you were just too busy with yourself, you were never there for me... I just stuffed it down.",147,1,2011-01-26,20
4056,fbd681e79ebca2cd9509218403f23ec6,"And I don't want the world to see me, 'cause I don't think that they'd understand.... I just want you to know who I am.",275,1,2011-02-01,14
4057,fbd681e79ebca2cd9509218403f23ec6,uh.. have I done something wrong?,108,1,2011-02-01,14
4055,fbd681e79ebca2cd9509218403f23ec6,Mashoom appataza!,4088,2,2011-02-02,13
4054,fbd681e79ebca2cd9509218403f23ec6,"Seeing red again, seeing red again...",4087,1,2011-02-02,13
4053,fbd681e79ebca2cd9509218403f23ec6,"Let's start a riot, a riot, let's start a riot",4090,2,2011-02-04,11
4051,fbd681e79ebca2cd9509218403f23ec6,"She's a fluffy little bubble With a frilly kind of air And with very little trouble, I could pull out all her HAIR! HAHAHAHAHA!",4091,2,2011-02-05,10
4052,fbd681e79ebca2cd9509218403f23ec6,"S-A-T-U-R, D-A-Y, DAY!",4092,2,2011-02-05,10
4050,fbd681e79ebca2cd9509218403f23ec6,Why don't you all just ffffffffffffffffade away?,933,1,2011-02-06,9
4048,fbd681e79ebca2cd9509218403f23ec6,"Peanut butter, peanut butter, easy to spread. Give me peanut butter on some good brown bread!",4096,2,2011-02-07,8
4049,fbd681e79ebca2cd9509218403f23ec6,Need.... chocolate... must find chocolate...,4097,2,2011-02-07,8
4047,fbd681e79ebca2cd9509218403f23ec6,"Yesterday's school melted 3//4 of my brain, today's succeeded in finishing off the rest... and now it's evaporating...",934,1,2011-02-08,7
4046,fbd681e79ebca2cd9509218403f23ec6,"Oh, to play a 3-hour soccer game in a field of mud and come home soaking wet...",4099,2,2011-02-09,6
4045,f8708568eff1535c85247b28dc126f9b,Fancies a REALLY late night drive,4013,2,2011-03-11,60
4041,f8708568eff1535c85247b28dc126f9b,Damned united makes me appreciate Brian clough,4015,2,2011-03-12,59
4042,f8708568eff1535c85247b28dc126f9b,Is looking forward to getting the score to dream on the have a good look at :D,4016,2,2011-03-12,59
4043,f8708568eff1535c85247b28dc126f9b,Ryan is a whiny little bitch!,315,1,2011-03-12,59
4044,f8708568eff1535c85247b28dc126f9b,Grease lines are pretty poor tbh :L,922,1,2011-03-12,59
4040,f8708568eff1535c85247b28dc126f9b,Is full of deep thought tonight,4020,4,2011-03-13,58
4039,f8708568eff1535c85247b28dc126f9b,Cannot wait for my cooked dinner!,4019,2,2011-03-13,58
4037,f8708568eff1535c85247b28dc126f9b,Now has to combine his epiphany with a few months hard work...,4024,4,2011-03-14,57
4036,f8708568eff1535c85247b28dc126f9b,Nice day to drive to uni :D,4023,2,2011-03-14,57
4038,f8708568eff1535c85247b28dc126f9b,"Can't get over how shocking the acting in skins is, 10 minutes of my life I'm never getting back",4025,1,2011-03-14,57
4034,f8708568eff1535c85247b28dc126f9b,"Dream on, your cd is pants and your music uninspiring... Oh joy...",4028,2,2011-03-15,56
4035,f8708568eff1535c85247b28dc126f9b,Brickin' 'em,4029,2,2011-03-15,56
4033,f8708568eff1535c85247b28dc126f9b,Pissing freezing in this lecture room,4027,1,2011-03-15,56
4032,f8708568eff1535c85247b28dc126f9b,Feeling nervous for a change..,107,1,2011-03-16,55
4031,f8708568eff1535c85247b28dc126f9b,Glory daze is class :L,4037,4,2011-03-17,54
4029,f8708568eff1535c85247b28dc126f9b,Casual reminiscing session up cyfarthfa Astro!,4035,2,2011-03-17,54
4030,f8708568eff1535c85247b28dc126f9b,Olly murs' impressions are quality!!,4036,2,2011-03-17,54
4027,f8708568eff1535c85247b28dc126f9b,"Ah, put that big ol' smile on my face",4039,2,2011-03-18,53
4028,f8708568eff1535c85247b28dc126f9b,Looking forward to a cheeky pint or two later,4040,2,2011-03-18,53
4026,f8708568eff1535c85247b28dc126f9b,Wrecked!,924,1,2011-03-19,52
4024,f8708568eff1535c85247b28dc126f9b,Becca is censoring my status,925,1,2011-03-20,51
4025,f8708568eff1535c85247b28dc126f9b,"As far as weekends go, this one has been shit hot",926,1,2011-03-20,51
4023,f8708568eff1535c85247b28dc126f9b,"Wants the summer to come round, tour ana",4046,4,2011-03-21,50
4022,f8708568eff1535c85247b28dc126f9b,Needs to start learning lines,4049,4,2011-03-22,49
4020,f8708568eff1535c85247b28dc126f9b,"Parking randomly to read grease lines with Luke and Audra before a spot of football, sound!",4051,2,2011-03-23,48
4021,f8708568eff1535c85247b28dc126f9b,Nice punch in the eye...,4052,1,2011-03-23,48
4016,f8708568eff1535c85247b28dc126f9b,Wrecked but worth it!,4152,3,2011-03-24,47
4017,f8708568eff1535c85247b28dc126f9b,Inspired I am not..,4056,2,2011-03-24,47
4018,f8708568eff1535c85247b28dc126f9b,Social network's first scene is class!,4057,2,2011-03-24,47
4019,f8708568eff1535c85247b28dc126f9b,Has loved these late night drives//chats!,4058,2,2011-03-24,47
4014,f8708568eff1535c85247b28dc126f9b,Can't wait until tour,4060,2,2011-03-25,46
4015,f8708568eff1535c85247b28dc126f9b,Could do with saundersfoot tomorrow!,4061,2,2011-03-25,46
4012,f8708568eff1535c85247b28dc126f9b,Hm horse porn,4067,4,2011-03-26,45
4009,f8708568eff1535c85247b28dc126f9b,Is now looking forward to a game of hide and seek on board a 24 hour ferry to Spain in the summer..,4064,2,2011-03-26,45
4010,f8708568eff1535c85247b28dc126f9b,ROAD TRIP!,4065,2,2011-03-26,45
4011,f8708568eff1535c85247b28dc126f9b,My arse hole is like a alley way after being anally penetrated very deeply. I love this sensation.,4066,2,2011-03-26,45
4013,f8708568eff1535c85247b28dc126f9b,Damon has a big dick will u give it to me,4068,2,2011-03-26,45
4008,f8708568eff1535c85247b28dc126f9b,Could do with a walk or summin,4070,2,2011-03-27,44
4003,f8708568eff1535c85247b28dc126f9b,Feels rough as ten bears,4074,2,2011-03-28,43
4004,f8708568eff1535c85247b28dc126f9b,Translating a welsh leaflet... Not exactly uni work,4075,2,2011-03-28,43
4005,f8708568eff1535c85247b28dc126f9b,Is looking forward to Friday!,4076,2,2011-03-28,43
4006,f8708568eff1535c85247b28dc126f9b,Drive by binning ftw,4077,2,2011-03-28,43
4007,f8708568eff1535c85247b28dc126f9b,"It's not speed that kills you, it's Luke behind the wheel!",4078,2,2011-03-28,43
4002,f8708568eff1535c85247b28dc126f9b,Cheeky drink Friday?,4079,2,2011-03-29,42
4001,f8708568eff1535c85247b28dc126f9b,Luke is a dark horse,4084,4,2011-03-30,41
3999,f8708568eff1535c85247b28dc126f9b,Lizzie asking meg if she's ever peed in a bush was a bit surreal,4082,2,2011-03-30,41
4000,f8708568eff1535c85247b28dc126f9b,stupid effing printer!,4083,1,2011-03-30,41
3997,f8708568eff1535c85247b28dc126f9b,"What a day, now some more tomorrow...",4086,4,2011-03-31,40
3996,f8708568eff1535c85247b28dc126f9b,Finally has a new voicemail!,4085,2,2011-03-31,40
3998,f8708568eff1535c85247b28dc126f9b,Grease will be the death of me...,932,1,2011-03-31,40
3993,f8708568eff1535c85247b28dc126f9b,Ring of fire?,3955,4,2011-04-01,39
3995,f8708568eff1535c85247b28dc126f9b,Will not be posting a bitchy status as I am turning twenty this year,3957,4,2011-04-01,39
3994,f8708568eff1535c85247b28dc126f9b,Wants. Sex with Children again but is jail worth it,3956,1,2011-04-01,39
3989,f8708568eff1535c85247b28dc126f9b,Needs a win,3960,4,2011-04-02,38
3991,f8708568eff1535c85247b28dc126f9b,Hide and seek in cars in hirwaun industrial estate is the way forward!!!,3962,2,2011-04-02,38
3990,f8708568eff1535c85247b28dc126f9b,Damon is upstairs shouting at himself..,3961,1,2011-04-02,38
3992,f8708568eff1535c85247b28dc126f9b,Ryan's pits smell like absolute shit!,910,1,2011-04-02,38
3988,f8708568eff1535c85247b28dc126f9b,Still waiting for a win..,3970,4,2011-04-03,37
3985,f8708568eff1535c85247b28dc126f9b,Grease practice is only 2-4 in scouts hall for anyone who doesn't know yet,3967,2,2011-04-03,37
3986,f8708568eff1535c85247b28dc126f9b,Says something that my own mother said I'm off form with the funny card this year,3968,2,2011-04-03,37
3987,f8708568eff1535c85247b28dc126f9b,No grease practice today!!,3969,2,2011-04-03,37
3984,f8708568eff1535c85247b28dc126f9b,Sometimes l question my sanity - occasionally it replies,3966,1,2011-04-03,37
3979,f8708568eff1535c85247b28dc126f9b,...and my sock is still there,3978,4,2011-04-04,36
3980,f8708568eff1535c85247b28dc126f9b,"Music tech done, BOOM!",3979,2,2011-04-04,36
3981,f8708568eff1535c85247b28dc126f9b,Tonight has been an experience!,3980,2,2011-04-04,36
3977,f8708568eff1535c85247b28dc126f9b,"Just got in, been a long week tbh",3976,1,2011-04-04,36
3978,f8708568eff1535c85247b28dc126f9b,Music tech you are the pain in my arse,3977,1,2011-04-04,36
3982,f8708568eff1535c85247b28dc126f9b,Hates dancing...,1,1,2011-04-04,36
3983,f8708568eff1535c85247b28dc126f9b,Fucking dance lift!,2,1,2011-04-04,36
3975,f8708568eff1535c85247b28dc126f9b,The bear is out!!,3984,2,2011-04-05,35
3976,f8708568eff1535c85247b28dc126f9b,Hates Damon as I am now sat outside boys school in pyjama bottoms and his boots,913,1,2011-04-05,35
3973,f8708568eff1535c85247b28dc126f9b,Karl pilkington don't half come out with some beauties!,3989,2,2011-04-06,34
3972,f8708568eff1535c85247b28dc126f9b,Putting petrol in my car in asda is an experience I never want to go through again after today!,3988,1,2011-04-06,34
3974,f8708568eff1535c85247b28dc126f9b,My knee likes to pick the worst time to play up see...,916,1,2011-04-06,34
3971,f8708568eff1535c85247b28dc126f9b,Likes getting a text that makes your day... Loves getting two that make your week!,3996,2,2011-04-07,33
3969,f8708568eff1535c85247b28dc126f9b,Ryan is an absolute knobhead for waking me up,3994,1,2011-04-07,33
3970,f8708568eff1535c85247b28dc126f9b,Damon miles is going to regret not eating my cooking,3995,1,2011-04-07,33
3966,f8708568eff1535c85247b28dc126f9b,Hopes the cast of grease are grateful to me for getting lost trying to find out where these mics are and then trying to fit it all inside my little c1,4000,2,2011-04-08,32
3967,f8708568eff1535c85247b28dc126f9b,Still can't believe Audra made him fall flat on his arse..,4001,2,2011-04-08,32
3968,f8708568eff1535c85247b28dc126f9b,Feels sorry for his overdraft,919,1,2011-04-08,32
3965,f8708568eff1535c85247b28dc126f9b,Is predicting a week of foul moods,314,1,2011-04-09,31
3962,f8708568eff1535c85247b28dc126f9b,I am the master of my fate: I am the captain of my soul.,4010,2,2011-04-10,30
3963,f8708568eff1535c85247b28dc126f9b,"Grease this week from Tuesday to Saturday with a matinee! I'll be playing Danny Tuesday, Thursday & Saturday, help a brother out and come have a butchers!",4011,2,2011-04-10,30
3964,f8708568eff1535c85247b28dc126f9b,The bear is back...,4012,2,2011-04-10,30
3959,f8708568eff1535c85247b28dc126f9b,Dave 1-0 Luke,4014,4,2011-04-11,29
3960,f8708568eff1535c85247b28dc126f9b,Is not looking forward to peeling off my skinny jeans after tonight,920,1,2011-04-11,29
3961,f8708568eff1535c85247b28dc126f9b,Is in absolute agony!,921,1,2011-04-11,29
3957,f8708568eff1535c85247b28dc126f9b,"Grease starts tonight for the week! Would very much appreciate the support tonight, Thursday or Saturday seeing as how I'm going to die of exhaustion at the end of it all!",4017,2,2011-04-12,28
3958,f8708568eff1535c85247b28dc126f9b,"One night over, better than expected!",4018,2,2011-04-12,28
3955,f8708568eff1535c85247b28dc126f9b,Good luck team B for tonight! Make it some friendly competition :P,4021,2,2011-04-13,27
3956,f8708568eff1535c85247b28dc126f9b,How's about being good mates and popping down the coliseum tomorrow for grease? :P,4022,2,2011-04-13,27
3954,f8708568eff1535c85247b28dc126f9b,"Coliseum tonight at 7pm, come have a butchers at grease",4026,2,2011-04-14,26
3950,f8708568eff1535c85247b28dc126f9b,The thrills of texting naked!,4030,2,2011-04-15,25
3951,f8708568eff1535c85247b28dc126f9b,Cemetery junction - class!,4031,2,2011-04-15,25
3952,f8708568eff1535c85247b28dc126f9b,Mmmmm donkey cock!,4032,2,2011-04-15,25
3953,f8708568eff1535c85247b28dc126f9b,Likes it when men cum up my arse! yum!,4033,2,2011-04-15,25
3949,f8708568eff1535c85247b28dc126f9b,"Last chance to see grease, 2pm today or 7pm tonight!",4034,2,2011-04-16,24
3947,f8708568eff1535c85247b28dc126f9b,Has had an amazing week but is completely sleep deprived!,4151,3,2011-04-17,23
3948,f8708568eff1535c85247b28dc126f9b,Is exhausted,4038,1,2011-04-17,23
3944,f8708568eff1535c85247b28dc126f9b,Can't believe I'm only now getting up,4041,1,2011-04-18,22
3945,f8708568eff1535c85247b28dc126f9b,"Cmon en life, gimme summin interesting",4042,1,2011-04-18,22
3946,f8708568eff1535c85247b28dc126f9b,Love how I can't shit in peace in my own home,923,1,2011-04-18,22
3942,f8708568eff1535c85247b28dc126f9b,Ryan's horns are breaking through,4043,4,2011-04-19,21
3943,f8708568eff1535c85247b28dc126f9b,The bear is out!,4044,2,2011-04-19,21
3940,f8708568eff1535c85247b28dc126f9b,Home could be anywhere when I am holding you (8) TUNE!!,4045,2,2011-04-20,20
3941,f8708568eff1535c85247b28dc126f9b,Loves waking up to back spasms see,927,1,2011-04-20,20
3938,f8708568eff1535c85247b28dc126f9b,Looks like the gang's back together again,4047,2,2011-04-21,19
3939,f8708568eff1535c85247b28dc126f9b,"Tenacious D, the lads and a road trip to the beach is hell of a start to the day",4048,2,2011-04-21,19
3937,f8708568eff1535c85247b28dc126f9b,Has invested in a trilby,4050,2,2011-04-22,18
3934,f8708568eff1535c85247b28dc126f9b,Should really be making a start on my uni work..,4053,2,2011-04-23,17
3935,f8708568eff1535c85247b28dc126f9b,"Found my capo, nearly cried with joy then began to sing I'm cleaning the desk in the spare room to the tune of White Christmas whilst dusting the desk, hardly a productive day for university assignments but a fun morning nonetheless",4054,2,2011-04-23,17
3936,f8708568eff1535c85247b28dc126f9b,Is cream crackered,4055,2,2011-04-23,17
3933,f8708568eff1535c85247b28dc126f9b,Can tell I'm related to my grandmother who's taken it upon herself to knit the royal wedding,4059,2,2011-04-24,16
3931,f8708568eff1535c85247b28dc126f9b,"After hearing David tennant act with a welsh accent so convincingly, I must ask if there's no end to his talents!",4062,2,2011-04-25,15
3932,f8708568eff1535c85247b28dc126f9b,United - absolutely brilliant,4063,2,2011-04-25,15
3929,f8708568eff1535c85247b28dc126f9b,Paolo? Oh yes!,4069,2,2011-04-26,14
3930,f8708568eff1535c85247b28dc126f9b,wtf is sleep?,928,1,2011-04-26,14
3925,f8708568eff1535c85247b28dc126f9b,60 massive no. 1s - possibly the best investment I have ever made!,4071,2,2011-04-27,13
3926,f8708568eff1535c85247b28dc126f9b,Biffy clyro's puzzle is blatant ear porn!,4072,2,2011-04-27,13
3927,f8708568eff1535c85247b28dc126f9b,Will always love parking up in a doggers spot alone with Luke...,4073,2,2011-04-27,13
3928,f8708568eff1535c85247b28dc126f9b,Is now in agony,929,1,2011-04-27,13
3923,f8708568eff1535c85247b28dc126f9b,"Has woke up barely being able to stand, where the fuck did this come from?!",930,1,2011-04-28,12
3924,f8708568eff1535c85247b28dc126f9b,Luke brings out my tourettes...,931,1,2011-04-28,12
3921,f8708568eff1535c85247b28dc126f9b,Wishes his knee would behave!,4080,4,2011-04-29,11
3922,f8708568eff1535c85247b28dc126f9b,"Cane downstairs to find my father playing doom on his iPhone with the royal wedding on in the background... Nice violent sound effects over the top of /does anyone here know of a reason why these two should not be together/"" and whatnot""",4081,1,2011-04-29,11
3919,f8708568eff1535c85247b28dc126f9b,Try everything once,3958,4,2011-05-01,9
3920,f8708568eff1535c85247b28dc126f9b,Fucking lads 2kfun,3959,2,2011-05-01,9
3918,f8708568eff1535c85247b28dc126f9b,Kicking a ball through a car window supplies hours of fun but unfortunately does not finish my university work,3965,3,2011-05-02,8
3916,f8708568eff1535c85247b28dc126f9b,"Paolo, you babe!",3963,2,2011-05-02,8
3917,f8708568eff1535c85247b28dc126f9b,Has so much respect for bobby charlton,3964,2,2011-05-02,8
3911,f8708568eff1535c85247b28dc126f9b,Will do work today,3971,4,2011-05-03,7
3914,f8708568eff1535c85247b28dc126f9b,Is in need of a shave,3974,4,2011-05-03,7
3915,f8708568eff1535c85247b28dc126f9b,Explaining to Luke the rules of aggregate is awfully tedious to the outside world..,3975,4,2011-05-03,7
3913,f8708568eff1535c85247b28dc126f9b,"Blasting enter shikari, class!",3973,2,2011-05-03,7
3912,f8708568eff1535c85247b28dc126f9b,Score? Pah!,3972,1,2011-05-03,7
3906,f8708568eff1535c85247b28dc126f9b,interesting practice for my practical tomorrow...,3981,2,2011-05-04,6
3907,f8708568eff1535c85247b28dc126f9b,Has been saved by Gioja!,3982,2,2011-05-04,6
3908,f8708568eff1535c85247b28dc126f9b,Nice 45 minute wait for a train... Ffs!,3983,1,2011-05-04,6
3909,f8708568eff1535c85247b28dc126f9b,"No car, lugging around an acoustic guitar and bass and missing the train, fun being me..",911,1,2011-05-04,6
3910,f8708568eff1535c85247b28dc126f9b,fuck uni. you suck.,912,1,2011-05-04,6
3903,f8708568eff1535c85247b28dc126f9b,cannot wait until 4pm tomorrow,3987,2,2011-05-05,5
3901,f8708568eff1535c85247b28dc126f9b,Here we fucking go...,3985,1,2011-05-05,5
3902,f8708568eff1535c85247b28dc126f9b,Is spending the majority of Much Ado sulking against the wall,3986,1,2011-05-05,5
3904,f8708568eff1535c85247b28dc126f9b,This will be a long day..,914,1,2011-05-05,5
3905,f8708568eff1535c85247b28dc126f9b,2 hours in the library and I've lost the will to live,915,1,2011-05-05,5
3899,f8708568eff1535c85247b28dc126f9b,We found Dai ling ping working in asda petrol station kiosk!,3993,4,2011-05-06,4
3897,f8708568eff1535c85247b28dc126f9b,"cultures done, history started, should be over in an hour and a half!",3990,2,2011-05-06,4
3898,f8708568eff1535c85247b28dc126f9b,All work handed in - and relax,3991,2,2011-05-06,4
3900,f8708568eff1535c85247b28dc126f9b,"Fuck you history essay, fuck you cultures, I'm done!",917,1,2011-05-06,4
3893,f8708568eff1535c85247b28dc126f9b,Forgot how much I love the stadium arcadium album,3997,2,2011-05-07,3
3894,f8708568eff1535c85247b28dc126f9b,Has had a bromantic day with Pete!,3998,2,2011-05-07,3
3895,f8708568eff1535c85247b28dc126f9b,has more tagged photos than friends,3999,2,2011-05-07,3
3896,f8708568eff1535c85247b28dc126f9b,Is a lazy fuck,918,1,2011-05-07,3
3891,f8708568eff1535c85247b28dc126f9b,cbf.,4006,4,2011-05-08,2
3887,f8708568eff1535c85247b28dc126f9b,Looks like scruff but is comfy as fuck!,4002,2,2011-05-08,2
3888,f8708568eff1535c85247b28dc126f9b,GET IN YOU FUCKING BEAUTIFUL WOLVES YOU!!!!!,4003,2,2011-05-08,2
3890,f8708568eff1535c85247b28dc126f9b,"Wolves win, Swansea 3rd, arsenal lose and united win - fucking good weekend for football",4005,2,2011-05-08,2
3892,f8708568eff1535c85247b28dc126f9b,"Christy Evans: / that an awkward turtle swimming past with a fail whale /"" - you absolute fucking beauty you""",4007,2,2011-05-08,2
3889,f8708568eff1535c85247b28dc126f9b,Oops.. Tipped coke on the floor of Luke's car,4004,1,2011-05-08,2
3885,f8708568eff1535c85247b28dc126f9b,"What a difference in weather between Cardiff and aberdare, boiling!",4008,2,2011-05-09,1
3886,f8708568eff1535c85247b28dc126f9b,Looking forward to a day of sweet fa tomorrow,4009,2,2011-05-09,1
3884,f49956142aab2ad74decfd49a103c2f1,I need soup! STAT!!,3947,4,2010-12-22,59
3883,f49956142aab2ad74decfd49a103c2f1,Day 2 of Winter Vacation: Sinus infection has me down and out...goody!,3946,1,2010-12-22,59
3880,f49956142aab2ad74decfd49a103c2f1,Power outage...great...,3949,1,2010-12-23,58
3881,f49956142aab2ad74decfd49a103c2f1,I've got the electric tea kettle. I need tea at all hours of the day! :-(,906,1,2010-12-23,58
3882,f49956142aab2ad74decfd49a103c2f1,I think I'm gonna lose my voice...little daggers stabbing my neck...bronchitis? I think not!,907,1,2010-12-23,58
3879,f49956142aab2ad74decfd49a103c2f1,"Things that should be available year round: Candy Canes Chocolate in heart-shaped boxes Peeps in the shapes of hearts, snowmen and rabbits Chocolate in the shapes of hearts, snowmen and rabbits...anything else?",3950,4,2010-12-24,57
3878,f49956142aab2ad74decfd49a103c2f1,Ferrets are illegal in California.,3952,4,2010-12-26,55
3877,f49956142aab2ad74decfd49a103c2f1,Smells like a skunk drowned in lemon Pledge.,909,1,2010-12-27,54
3876,f49956142aab2ad74decfd49a103c2f1,"The show /whose line is it anyway?/"" is on right now""",3953,4,2010-12-28,53
3875,f49956142aab2ad74decfd49a103c2f1,It's so cold!,900,1,2011-01-03,47
3873,f49956142aab2ad74decfd49a103c2f1,Just made some super bomb curry chili! It's great!,3918,2,2011-01-04,46
3874,f49956142aab2ad74decfd49a103c2f1,"/Whose Line Is It Anyway/"" is on right now...ABC Family""",3919,2,2011-01-04,46
3872,f49956142aab2ad74decfd49a103c2f1,...Is Sterlizing the bottles!,3921,4,2011-01-05,45
3871,f49956142aab2ad74decfd49a103c2f1,Bring me some sunny-side eggs topped with some banana ketchup!,3922,2,2011-01-06,44
3870,f49956142aab2ad74decfd49a103c2f1,"I wish I had a warm, heated table to sit under in the winter.",3931,4,2011-01-11,39
3866,f49956142aab2ad74decfd49a103c2f1,Since when did Church's Chicken start selling tacos?,3933,4,2011-01-12,38
3867,f49956142aab2ad74decfd49a103c2f1,That's what the Internet is all about: fat people doing stuff that no one else cares about.,902,1,2011-01-12,38
3868,f49956142aab2ad74decfd49a103c2f1,It's so cold outside and in my heart tonight.,903,1,2011-01-12,38
3869,f49956142aab2ad74decfd49a103c2f1,I've got cold feet.,904,1,2011-01-12,38
3865,f49956142aab2ad74decfd49a103c2f1,Who wants to be my face-time friend?,3936,4,2011-01-14,36
3864,f49956142aab2ad74decfd49a103c2f1,...is waiting for my nephew to come out!,3941,2,2011-01-18,32
3862,f49956142aab2ad74decfd49a103c2f1,...will be leaving in an hour for the induction! Charging and packing items NOW!,3942,2,2011-01-19,31
3863,f49956142aab2ad74decfd49a103c2f1,"Things didn't go as expected...My little sister is going in for her c-section in about an hour (mom says a 1//2 hour). Please send Jess and Tyler your love, support and prayers! {Please also send some Xanax to a very worried big sister and auntie}",905,1,2011-01-19,31
3861,f49956142aab2ad74decfd49a103c2f1,Sitting here in my comfy hospital bed...can I take this home with me? It's very convenient!,3944,2,2011-01-21,29
3860,f49956142aab2ad74decfd49a103c2f1,Norah Jones on the iPod + hospital Binky = Baby narcotic!,3945,2,2011-01-22,28
3858,f49956142aab2ad74decfd49a103c2f1,"UHN! Type in /Jehovah's Witnesses/"" in the Netflix quick app and somehow /""Cloudy With A Chance of Meatballs/"" pops up! LOL""",3951,2,2011-01-26,24
3859,f49956142aab2ad74decfd49a103c2f1,Pain is weakness leaving the body *like a drill sargent* NOW DROP AND GIVE ME 20 SOLDIER!!,908,1,2011-01-26,24
3857,f49956142aab2ad74decfd49a103c2f1,I don't wanna be your valentine! You should love me every day of the millennium!,3954,2,2011-01-31,19
3853,f49956142aab2ad74decfd49a103c2f1,Who here remembers what a floppy disk looks like?,3914,4,2011-02-03,16
3854,f49956142aab2ad74decfd49a103c2f1,"Chocolate bunnies, candy canes and heart-shaped boxes should be available year-round.",3915,2,2011-02-03,16
3855,f49956142aab2ad74decfd49a103c2f1,Cracked Pepper and Olive Oil Triscuit Crackers...so good it hurts!,3916,2,2011-02-03,16
3856,f49956142aab2ad74decfd49a103c2f1,On fire!?!?!,3917,2,2011-02-03,16
3852,f49956142aab2ad74decfd49a103c2f1,National Red Day....that's why everyone on KTLA is wearing my color!,3920,2,2011-02-04,15
3851,f49956142aab2ad74decfd49a103c2f1,I'm secretly a horrible person inside. Don't let my sunny-face fool you.,901,1,2011-02-05,14
3849,f49956142aab2ad74decfd49a103c2f1,I feel better now.,3923,2,2011-02-06,13
3850,f49956142aab2ad74decfd49a103c2f1,Who Framed Roger Rabbit is on...a fond memory from my childhood...but they are cussing in it! How did that not get edited out?,3924,1,2011-02-06,13
